iter	Passed	Remaining
479	599	649
480	599	647
481	600	645
482	601	643
483	602	642
484	603	640
485	603	638
486	604	636
487	605	635
488	606	633
489	606	631
490	607	630
491	608	628
492	609	626
493	610	624
494	610	623
495	611	621
496	612	619
497	613	618
498	614	616
499	615	615
500	616	613
501	616	611
502	617	610
503	618	608
504	619	607
505	620	605
506	620	603
507	621	602
508	622	600
509	623	599
510	624	597
511	625	595
512	626	594
513	627	592
514	627	591
515	628	589
516	629	588
517	630	586
518	631	584
519	632	583
520	632	581
521	633	580
522	634	578
523	635	577
524	636	575
525	636	573
526	637	572
527	638	570
528	639	569
529	640	567
530	641	566
531	642	564
532	643	563
533	644	562
534	644	560
535	645	559
536	646	557
537	647	555
538	648	554
539	649	552
540	649	551
541	650	549
542	651	548
543	652	546
544	653	545
545	653	543
546	654	542
547	655	540
548	656	539
549	657	537
550	658	536
551	658	534
552	659	533
553	660	531
554	661	530
555	661	528
556	662	527
557	663	525
558	664	524
559	665	522
560	665	521
561	666	519
562	667	518
563	668	516
564	668	515
565	669	513
566	670	512
567	671	510
568	672	509
569	673	507
570	673	506
571	674	504
572	675	503
573	676	501
574	677	500
575	677	498
576	678	497
577	679	495
578	680	494
579	680	493
580	681	491
581	682	490
582	683	488
583	684	487
584	684	485
585	685	484
586	686	482
587	687	481
588	687	480
589	689	478
590	689	477
591	690	476
592	691	474
593	692	473
594	692	471
595	693	470
596	694	468
597	695	467
598	696	465
599	696	464
600	697	463
601	698	461
602	699	460
603	700	459
604	701	457
605	702	456
606	702	455
607	703	453
608	704	452
609	705	451
610	706	449
611	707	448
612	708	446
613	708	445
614	709	444
615	710	442
616	711	441
617	712	440
618	712	438
619	714	437
620	715	436
621	715	435
622	716	433
623	717	432
624	718	431
625	719	429
626	720	428
627	720	427
628	721	425
629	722	424
630	723	422
631	724	421
632	724	420
633	725	418
634	726	417
635	728	416
636	729	415
637	730	414
638	731	413
639	732	412
640	733	410
641	734	409
642	735	408
643	736	407
644	737	406
645	738	404
646	739	403
647	740	402
648	741	400
649	742	399
650	743	398
651	744	397
652	745	395
653	745	394
654	746	393
655	747	391
656	748	390
657	749	389
658	749	388
659	750	386
660	751	385
661	752	384
662	753	383
663	754	381
664	755	380
665	756	379
666	757	377
667	758	376
668	759	375
669	760	374
670	761	373
671	762	372
672	763	370
673	764	369
674	765	368
675	766	367
676	766	365
677	767	364
678	768	363
679	769	362
680	770	360
681	770	359
682	771	358
683	772	357
684	773	355
685	774	354
686	775	353
687	776	351
688	777	350
689	778	349
690	778	348
691	779	346
692	780	345
693	781	344
694	781	343
695	782	341
696	783	340
697	784	339
698	785	338
699	786	337
700	787	335
701	788	334
702	788	333
703	790	332
704	791	331
705	791	329
706	792	328
707	793	327
708	794	326
709	795	324
710	796	323
711	796	322
712	797	321
713	798	319
714	799	318
715	800	317
716	801	316
717	802	315
718	803	313
719	803	312
720	804	311
721	805	310
722	806	308
723	807	307
724	808	306
725	808	305
726	809	304
727	810	302
728	811	301
729	811	300
730	812	299
731	813	297
732	814	296
733	815	295
734	816	294
735	817	293
736	818	292
737	819	290
738	819	289
739	820	288
740	822	287
741	823	286
742	823	284
743	824	283
744	825	282
745	826	281
746	827	280
747	828	279
748	828	277
749	829	276
750	830	275
751	831	274
752	832	273
753	833	271
754	834	270
755	834	269
756	835	268
757	836	267
758	837	265
759	838	264
760	838	263
761	839	262
762	840	261
763	841	260
764	843	259
765	844	257
766	844	256
767	845	255
768	846	254
769	847	253
770	848	252
771	849	250
772	850	249
773	852	248
774	853	247
775	855	246
776	856	245
777	858	244
778	859	243
779	860	242
780	862	241
781	863	240
782	865	239
783	866	238
784	867	237
785	868	236
786	869	235
787	870	234
788	872	233
789	873	232
790	874	231
791	875	229
792	876	228
793	877	227
794	878	226
795	879	225
796	880	224
797	881	223
798	882	222
799	883	220
800	885	219
801	886	218
802	887	217
803	888	216
804	889	215
805	890	214
806	892	213
807	893	212
808	894	211
809	895	209
810	896	208
811	897	207
812	898	206
813	900	205
814	901	204
815	902	203
816	904	202
817	905	201
818	906	200
819	908	199
820	909	198
821	910	197
822	911	196
823	912	194
824	913	193
825	914	192
826	915	191
827	916	190
828	918	189
829	919	188
830	920	187
831	921	186
832	923	185
833	924	184
834	925	182
835	927	181
836	928	180
837	929	179
838	930	178
839	931	177
840	932	176
841	933	175
842	934	174
843	935	172
844	936	171
845	937	170
846	938	169
847	939	168
848	940	167
849	942	166
850	943	165
851	944	164
852	945	162
853	946	161
854	947	160
855	948	159
856	949	158
857	951	157
858	952	156
859	953	155
860	954	154
861	956	153
862	957	151
863	958	150
864	959	149
865	961	148
866	962	147
867	963	146
868	964	145
869	965	144
870	966	143
871	967	142
872	968	140
873	969	139
874	970	138
875	971	137
876	972	136
877	973	135
878	974	134
879	976	133
880	977	132
881	978	130
882	979	129
883	981	128
884	982	127
885	983	126
886	984	125
887	985	124
888	987	123
889	988	122
890	989	121
891	991	120
892	992	118
893	993	117
894	994	116
895	995	115
896	996	114
897	998	113
898	999	112
899	1000	111
900	1001	110
901	1002	108
902	1003	107
903	1004	106
904	1005	105
905	1006	104
906	1007	103
907	1008	102
908	1009	101
909	1010	99
910	1011	98
911	1012	97
912	1013	96
913	1014	95
914	1015	94
915	1016	93
916	1017	92
917	1018	90
918	1019	89
919	1020	88
920	1021	87
921	1022	86
922	1023	85
923	1025	84
924	1026	83
925	1027	82
926	1028	81
927	1029	79
928	1031	78
929	1032	77
930	1034	76
931	1035	75
932	1035	74
933	1036	73
934	1037	72
935	1039	71
936	1040	69
937	1041	68
938	1042	67
939	1043	66
940	1044	65
941	1045	64
942	1046	63
943	1047	62
944	1048	61
945	1048	59
946	1049	58
947	1050	57
